trial,action1,state,action2,reward,probsA,probsB,probsC,probsD,run
15,X,Y,J,1,[0.62284251 0.60524046 0.59419888 0.51203406],[0.56831424 0.61907943 0.38279702 0.6626484 ],[0.72337772 0.53035992 0.71540748 0.65210896],[0.59704118 0.72152599 0.29277292 0.25673787],92
16,X,X,D,1,[0.64231376 0.64292347 0.60368829 0.52833229],[0.55426469 0.62989864 0.37132231 0.64340927],[0.67850858 0.55493268 0.73547686 0.64042405],[0.60713214 0.67161941 0.29004053 0.26509628],92
17,X,Y,K,0,[0.60778703 0.60932814 0.61945918 0.52779997],[0.52270558 0.6638707  0.42399963 0.6337289 ],[0.67939103 0.58571316 0.73450056 0.62254738],[0.609367   0.6663255  0.24771403 0.28519048],92
18,X,Y,K,1,[0.52740055 0.61277616 0.63933007 0.54589486],[0.56281365 0.65910987 0.43345223 0.64142426],[0.66581918 0.62462881 0.70414805 0.63233249],[0.6115222  0.65824278 0.23443882 0.28660933],92
19,X,Y,K,1,[0.52740055 0.61277616 0.63933007 0.54589486],[0.56281365 0.65910987 0.43345223 0.64142426],[0.66581918 0.62462881 0.70414805 0.63233249],[0.6115222  0.65824278 0.25       0.28660933],92
0,Y,X,F,0,[0.51291987 0.62071582 0.54229948 0.5746571 ],[0.47961053 0.61962107 0.46854745 0.74519734],[0.75722801 0.45455716 0.63213813 0.53620516],[0.5982253  0.72282415 0.32165604 0.2588385 ],93
1,Y,Y,J,0,[0.53483804 0.57504304 0.53221977 0.59839224],[0.50844204 0.57113206 0.47845549 0.73261133],[0.75531468 0.49323295 0.63063095 0.54315719],[0.61281139 0.74283682 0.33871042 0.24288662],93
2,X,X,D,0,[0.57760895 0.61040341 0.53062824 0.55889397],[0.53869936 0.57879549 0.45575705 0.70708122],[0.7472044  0.48992918 0.63275174 0.55101833],[0.60582109 0.76141104 0.34333837 0.22564477],93
3,Y,Y,K,1,[0.58996487 0.57578871 0.54278372 0.55314669],[0.53592683 0.62047359 0.45046224 0.724492  ],[0.76495359 0.49210914 0.65162203 0.56143569],[0.60138637 0.73674943 0.36261524 0.24748106],93
4,Y,X,D,1,[0.58274812 0.54452618 0.51540632 0.55991054],[0.49950485 0.63924964 0.39823489 0.7243742 ],[0.68535706 0.49316609 0.69994912 0.56785932],[0.60091836 0.73779026 0.37055755 0.24639775],93
5,Y,Y,K,0,[0.63577387 0.51831401 0.49927981 0.54188927],[0.52316383 0.63442832 0.38078152 0.75758092],[0.66256285 0.52121377 0.73477005 0.53343385],[0.60350617 0.73357329 0.35609257 0.27108159],93
6,X,Y,K,1,[0.6308041  0.52660622 0.48133574 0.54917322],[0.50374031 0.62774913 0.380393   0.72493376],[0.70321021 0.49503986 0.72316842 0.57005233],[0.55920387 0.75004647 0.36000643 0.26757341],93
7,Y,Y,K,0,[0.63860173 0.57963313 0.4931459  0.57495972],[0.52605253 0.64965199 0.37265348 0.71194366],[0.73676476 0.47993207 0.75182421 0.57294542],[0.55273124 0.79278722 0.31448602 0.27166077],93
8,Y,X,F,0,[0.62515261 0.5890514  0.51313141 0.51834423],[0.51042835 0.63110918 0.37605905 0.68545742],[0.74136647 0.46134207 0.73191973 0.61598308],[0.53591251 0.78774353 0.2988519  0.24707721],93
9,Y,X,D,1,[0.61284896 0.62302755 0.54025073 0.51873463],[0.54825121 0.62061806 0.35987148 0.67220968],[0.77641029 0.4921334  0.75694868 0.59153179],[0.53403068 0.76686183 0.29841011 0.24409517],93
10,Y,X,D,0,[0.66997109 0.6402352  0.55681065 0.54095704],[0.53539008 0.62877106 0.36593282 0.68555293],[0.76221238 0.51517142 0.74725916 0.63773097],[0.57764158 0.70356169 0.28311068 0.2647672 ],93
11,Y,Y,K,0,[0.66875253 0.64035088 0.56445625 0.54612762],[0.54450808 0.61631385 0.38726708 0.70229956],[0.75121046 0.50027453 0.74741716 0.67474133],[0.57225416 0.70429478 0.28088602 0.26787705],93
12,Y,X,D,0,[0.6820078  0.61350298 0.54959632 0.53420037],[0.56673055 0.6413607  0.38370395 0.70869162],[0.76277863 0.49901177 0.747808   0.69008602],[0.57557286 0.71913788 0.28369968 0.2267832 ],93
13,X,Y,K,0,[0.68630328 0.63394543 0.55704041 0.56440419],[0.55523765 0.6358708  0.36698192 0.69092807],[0.76619908 0.56765274 0.76871145 0.65953823],[0.59628202 0.7473622  0.2612234  0.23933917],93
14,X,X,D,0,[0.63787252 0.60718777 0.57783007 0.55020606],[0.57471135 0.64339109 0.37556845 0.6814187 ],[0.74192871 0.53147635 0.79172931 0.63717621],[0.58402141 0.7617345  0.28519807 0.23572146],93
15,X,X,D,1,[0.62284251 0.60524046 0.59419888 0.51203406],[0.56831424 0.61907943 0.38279702 0.6626484 ],[0.72337772 0.53035992 0.71540748 0.65210896],[0.59704118 0.72152599 0.29277292 0.25673787],93
16,X,Y,K,0,[0.64231376 0.64292347 0.60368829 0.52833229],[0.55426469 0.62989864 0.37132231 0.64340927],[0.67850858 0.55493268 0.73547686 0.64042405],[0.60713214 0.67161941 0.29004053 0.26509628],93
17,X,X,D,0,[0.60778703 0.60932814 0.61945918 0.52779997],[0.52270558 0.6638707  0.42399963 0.6337289 ],[0.67939103 0.58571316 0.73450056 0.62254738],[0.609367   0.6663255  0.24771403 0.28519048],93
18,X,X,D,0,[0.52740055 0.61277616 0.63933007 0.54589486],[0.56281365 0.65910987 0.43345223 0.64142426],[0.66581918 0.62462881 0.70414805 0.63233249],[0.6115222  0.65824278 0.23443882 0.28660933],93
19,Y,Y,K,0,[0.52740055 0.61277616 0.63933007 0.54589486],[0.56281365 0.65910987 0.43345223 0.64142426],[0.66581918 0.62462881 0.70414805 0.63233249],[0.6115222  0.65824278 0.25       0.28660933],93
0,Y,X,D,1,[0.51291987 0.62071582 0.54229948 0.5746571 ],[0.47961053 0.61962107 0.46854745 0.74519734],[0.75722801 0.45455716 0.63213813 0.53620516],[0.5982253  0.72282415 0.32165604 0.2588385 ],94
1,X,X,D,1,[0.53483804 0.57504304 0.53221977 0.59839224],[0.50844204 0.57113206 0.47845549 0.73261133],[0.75531468 0.49323295 0.63063095 0.54315719],[0.61281139 0.74283682 0.33871042 0.24288662],94
2,X,X,D,0,[0.57760895 0.61040341 0.53062824 0.55889397],[0.53869936 0.57879549 0.45575705 0.70708122],[0.7472044  0.48992918 0.63275174 0.55101833],[0.60582109 0.76141104 0.34333837 0.22564477],94
3,Y,Y,J,1,[0.58996487 0.57578871 0.54278372 0.55314669],[0.53592683 0.62047359 0.45046224 0.724492  ],[0.76495359 0.49210914 0.65162203 0.56143569],[0.60138637 0.73674943 0.36261524 0.24748106],94
4,Y,Y,J,0,[0.58274812 0.54452618 0.51540632 0.55991054],[0.49950485 0.63924964 0.39823489 0.7243742 ],[0.68535706 0.49316609 0.69994912 0.56785932],[0.60091836 0.73779026 0.37055755 0.24639775],94
5,Y,Y,J,0,[0.63577387 0.51831401 0.49927981 0.54188927],[0.52316383 0.63442832 0.38078152 0.75758092],[0.66256285 0.52121377 0.73477005 0.53343385],[0.60350617 0.73357329 0.35609257 0.27108159],94
6,Y,Y,K,0,[0.6308041  0.52660622 0.48133574 0.54917322],[0.50374031 0.62774913 0.380393   0.72493376],[0.70321021 0.49503986 0.72316842 0.57005233],[0.55920387 0.75004647 0.36000643 0.26757341],94
7,Y,Y,J,0,[0.63860173 0.57963313 0.4931459  0.57495972],[0.52605253 0.64965199 0.37265348 0.71194366],[0.73676476 0.47993207 0.75182421 0.57294542],[0.55273124 0.79278722 0.31448602 0.27166077],94
8,Y,Y,J,1,[0.62515261 0.5890514  0.51313141 0.51834423],[0.51042835 0.63110918 0.37605905 0.68545742],[0.74136647 0.46134207 0.73191973 0.61598308],[0.53591251 0.78774353 0.2988519  0.24707721],94
9,X,Y,K,0,[0.61284896 0.62302755 0.54025073 0.51873463],[0.54825121 0.62061806 0.35987148 0.67220968],[0.77641029 0.4921334  0.75694868 0.59153179],[0.53403068 0.76686183 0.29841011 0.24409517],94
10,Y,Y,J,1,[0.66997109 0.6402352  0.55681065 0.54095704],[0.53539008 0.62877106 0.36593282 0.68555293],[0.76221238 0.51517142 0.74725916 0.63773097],[0.57764158 0.70356169 0.28311068 0.2647672 ],94
11,Y,X,D,0,[0.66875253 0.64035088 0.56445625 0.54612762],[0.54450808 0.61631385 0.38726708 0.70229956],[0.75121046 0.50027453 0.74741716 0.67474133],[0.57225416 0.70429478 0.28088602 0.26787705],94
12,Y,X,F,0,[0.6820078  0.61350298 0.54959632 0.53420037],[0.56673055 0.6413607  0.38370395 0.70869162],[0.76277863 0.49901177 0.747808   0.69008602],[0.57557286 0.71913788 0.28369968 0.2267832 ],94
13,Y,Y,J,0,[0.68630328 0.63394543 0.55704041 0.56440419],[0.55523765 0.6358708  0.36698192 0.69092807],[0.76619908 0.56765274 0.76871145 0.65953823],[0.59628202 0.7473622  0.2612234  0.23933917],94
14,Y,Y,J,1,[0.63787252 0.60718777 0.57783007 0.55020606],[0.57471135 0.64339109 0.37556845 0.6814187 ],[0.74192871 0.53147635 0.79172931 0.63717621],[0.58402141 0.7617345  0.28519807 0.23572146],94
15,Y,Y,J,1,[0.62284251 0.60524046 0.59419888 0.51203406],[0.56831424 0.61907943 0.38279702 0.6626484 ],[0.72337772 0.53035992 0.71540748 0.65210896],[0.59704118 0.72152599 0.29277292 0.25673787],94
16,Y,Y,J,0,[0.64231376 0.64292347 0.60368829 0.52833229],[0.55426469 0.62989864 0.37132231 0.64340927],[0.67850858 0.55493268 0.73547686 0.64042405],[0.60713214 0.67161941 0.29004053 0.26509628],94
17,Y,Y,J,1,[0.60778703 0.60932814 0.61945918 0.52779997],[0.52270558 0.6638707  0.42399963 0.6337289 ],[0.67939103 0.58571316 0.73450056 0.62254738],[0.609367   0.6663255  0.24771403 0.28519048],94
18,Y,Y,J,0,[0.52740055 0.61277616 0.63933007 0.54589486],[0.56281365 0.65910987 0.43345223 0.64142426],[0.66581918 0.62462881 0.70414805 0.63233249],[0.6115222  0.65824278 0.23443882 0.28660933],94
19,Y,Y,J,0,[0.52740055 0.61277616 0.63933007 0.54589486],[0.56281365 0.65910987 0.43345223 0.64142426],[0.66581918 0.62462881 0.70414805 0.63233249],[0.6115222  0.65824278 0.25       0.28660933],94
0,Y,X,D,1,[0.51291987 0.62071582 0.54229948 0.5746571 ],[0.47961053 0.61962107 0.46854745 0.74519734],[0.75722801 0.45455716 0.63213813 0.53620516],[0.5982253  0.72282415 0.32165604 0.2588385 ],95
1,Y,Y,J,1,[0.53483804 0.57504304 0.53221977 0.59839224],[0.50844204 0.57113206 0.47845549 0.73261133],[0.75531468 0.49323295 0.63063095 0.54315719],[0.61281139 0.74283682 0.33871042 0.24288662],95
2,Y,Y,J,0,[0.57760895 0.61040341 0.53062824 0.55889397],[0.53869936 0.57879549 0.45575705 0.70708122],[0.7472044  0.48992918 0.63275174 0.55101833],[0.60582109 0.76141104 0.34333837 0.22564477],95
3,X,X,D,1,[0.58996487 0.57578871 0.54278372 0.55314669],[0.53592683 0.62047359 0.45046224 0.724492  ],[0.76495359 0.49210914 0.65162203 0.56143569],[0.60138637 0.73674943 0.36261524 0.24748106],95
4,Y,Y,J,1,[0.58274812 0.54452618 0.51540632 0.55991054],[0.49950485 0.63924964 0.39823489 0.7243742 ],[0.68535706 0.49316609 0.69994912 0.56785932],[0.60091836 0.73779026 0.37055755 0.24639775],95
5,Y,Y,J,1,[0.63577387 0.51831401 0.49927981 0.54188927],[0.52316383 0.63442832 0.38078152 0.75758092],[0.66256285 0.52121377 0.73477005 0.53343385],[0.60350617 0.73357329 0.35609257 0.27108159],95
6,Y,X,D,1,[0.6308041  0.52660622 0.48133574 0.54917322],[0.50374031 0.62774913 0.380393   0.72493376],[0.70321021 0.49503986 0.72316842 0.57005233],[0.55920387 0.75004647 0.36000643 0.26757341],95
7,Y,X,D,1,[0.63860173 0.57963313 0.4931459  0.57495972],[0.52605253 0.64965199 0.37265348 0.71194366],[0.73676476 0.47993207 0.75182421 0.57294542],[0.55273124 0.79278722 0.31448602 0.27166077],95
8,X,X,D,1,[0.62515261 0.5890514  0.51313141 0.51834423],[0.51042835 0.63110918 0.37605905 0.68545742],[0.74136647 0.46134207 0.73191973 0.61598308],[0.53591251 0.78774353 0.2988519  0.24707721],95
9,X,X,D,1,[0.61284896 0.62302755 0.54025073 0.51873463],[0.54825121 0.62061806 0.35987148 0.67220968],[0.77641029 0.4921334  0.75694868 0.59153179],[0.53403068 0.76686183 0.29841011 0.24409517],95
10,X,X,D,1,[0.66997109 0.6402352  0.55681065 0.54095704],[0.53539008 0.62877106 0.36593282 0.68555293],[0.76221238 0.51517142 0.74725916 0.63773097],[0.57764158 0.70356169 0.28311068 0.2647672 ],95
11,X,X,D,0,[0.66875253 0.64035088 0.56445625 0.54612762],[0.54450808 0.61631385 0.38726708 0.70229956],[0.75121046 0.50027453 0.74741716 0.67474133],[0.57225416 0.70429478 0.28088602 0.26787705],95
12,X,X,F,0,[0.6820078  0.61350298 0.54959632 0.53420037],[0.56673055 0.6413607  0.38370395 0.70869162],[0.76277863 0.49901177 0.747808   0.69008602],[0.57557286 0.71913788 0.28369968 0.2267832 ],95
13,X,X,D,0,[0.68630328 0.63394543 0.55704041 0.56440419],[0.55523765 0.6358708  0.36698192 0.69092807],[0.76619908 0.56765274 0.76871145 0.65953823],[0.59628202 0.7473622  0.2612234  0.23933917],95
14,X,X,D,1,[0.63787252 0.60718777 0.57783007 0.55020606],[0.57471135 0.64339109 0.37556845 0.6814187 ],[0.74192871 0.53147635 0.79172931 0.63717621],[0.58402141 0.7617345  0.28519807 0.23572146],95
15,Y,X,D,1,[0.62284251 0.60524046 0.59419888 0.51203406],[0.56831424 0.61907943 0.38279702 0.6626484 ],[0.72337772 0.53035992 0.71540748 0.65210896],[0.59704118 0.72152599 0.29277292 0.25673787],95
16,X,X,D,0,[0.64231376 0.64292347 0.60368829 0.52833229],[0.55426469 0.62989864 0.37132231 0.64340927],[0.67850858 0.55493268 0.73547686 0.64042405],[0.60713214 0.67161941 0.29004053 0.26509628],95
17,X,X,D,1,[0.60778703 0.60932814 0.61945918 0.52779997],[0.52270558 0.6638707  0.42399963 0.6337289 ],[0.67939103 0.58571316 0.73450056 0.62254738],[0.609367   0.6663255  0.24771403 0.28519048],95
18,X,Y,J,0,[0.52740055 0.61277616 0.63933007 0.54589486],[0.56281365 0.65910987 0.43345223 0.64142426],[0.66581918 0.62462881 0.70414805 0.63233249],[0.6115222  0.65824278 0.23443882 0.28660933],95
19,X,X,D,1,[0.52740055 0.61277616 0.63933007 0.54589486],[0.56281365 0.65910987 0.43345223 0.64142426],[0.66581918 0.62462881 0.70414805 0.63233249],[0.6115222  0.65824278 0.25       0.28660933],95
0,X,X,F,1,[0.51291987 0.62071582 0.54229948 0.5746571 ],[0.47961053 0.61962107 0.46854745 0.74519734],[0.75722801 0.45455716 0.63213813 0.53620516],[0.5982253  0.72282415 0.32165604 0.2588385 ],96
1,Y,Y,J,1,[0.53483804 0.57504304 0.53221977 0.59839224],[0.50844204 0.57113206 0.47845549 0.73261133],[0.75531468 0.49323295 0.63063095 0.54315719],[0.61281139 0.74283682 0.33871042 0.24288662],96
2,X,X,D,1,[0.57760895 0.61040341 0.53062824 0.55889397],[0.53869936 0.57879549 0.45575705 0.70708122],[0.7472044  0.48992918 0.63275174 0.55101833],[0.60582109 0.76141104 0.34333837 0.22564477],96
3,X,Y,J,1,[0.58996487 0.57578871 0.54278372 0.55314669],[0.53592683 0.62047359 0.45046224 0.724492  ],[0.76495359 0.49210914 0.65162203 0.56143569],[0.60138637 0.73674943 0.36261524 0.24748106],96
4,Y,Y,J,1,[0.58274812 0.54452618 0.51540632 0.55991054],[0.49950485 0.63924964 0.39823489 0.7243742 ],[0.68535706 0.49316609 0.69994912 0.56785932],[0.60091836 0.73779026 0.37055755 0.24639775],96
5,Y,Y,J,0,[0.63577387 0.51831401 0.49927981 0.54188927],[0.52316383 0.63442832 0.38078152 0.75758092],[0.66256285 0.52121377 0.73477005 0.53343385],[0.60350617 0.73357329 0.35609257 0.27108159],96
6,Y,Y,J,0,[0.6308041  0.52660622 0.48133574 0.54917322],[0.50374031 0.62774913 0.380393   0.72493376],[0.70321021 0.49503986 0.72316842 0.57005233],[0.55920387 0.75004647 0.36000643 0.26757341],96
7,Y,X,D,1,[0.63860173 0.57963313 0.4931459  0.57495972],[0.52605253 0.64965199 0.37265348 0.71194366],[0.73676476 0.47993207 0.75182421 0.57294542],[0.55273124 0.79278722 0.31448602 0.27166077],96
8,Y,X,F,1,[0.62515261 0.5890514  0.51313141 0.51834423],[0.51042835 0.63110918 0.37605905 0.68545742],[0.74136647 0.46134207 0.73191973 0.61598308],[0.53591251 0.78774353 0.2988519  0.24707721],96
9,Y,X,D,0,[0.61284896 0.62302755 0.54025073 0.51873463],[0.54825121 0.62061806 0.35987148 0.67220968],[0.77641029 0.4921334  0.75694868 0.59153179],[0.53403068 0.76686183 0.29841011 0.24409517],96
10,X,X,F,1,[0.66997109 0.6402352  0.55681065 0.54095704],[0.53539008 0.62877106 0.36593282 0.68555293],[0.76221238 0.51517142 0.74725916 0.63773097],[0.57764158 0.70356169 0.28311068 0.2647672 ],96
11,X,Y,J,0,[0.66875253 0.64035088 0.56445625 0.54612762],[0.54450808 0.61631385 0.38726708 0.70229956],[0.75121046 0.50027453 0.74741716 0.67474133],[0.57225416 0.70429478 0.28088602 0.26787705],96
12,X,Y,J,1,[0.6820078  0.61350298 0.54959632 0.53420037],[0.56673055 0.6413607  0.38370395 0.70869162],[0.76277863 0.49901177 0.747808   0.69008602],[0.57557286 0.71913788 0.28369968 0.2267832 ],96
13,Y,X,F,0,[0.68630328 0.63394543 0.55704041 0.56440419],[0.55523765 0.6358708  0.36698192 0.69092807],[0.76619908 0.56765274 0.76871145 0.65953823],[0.59628202 0.7473622  0.2612234  0.23933917],96
14,Y,Y,J,0,[0.63787252 0.60718777 0.57783007 0.55020606],[0.57471135 0.64339109 0.37556845 0.6814187 ],[0.74192871 0.53147635 0.79172931 0.63717621],[0.58402141 0.7617345  0.28519807 0.23572146],96
15,X,X,F,0,[0.62284251 0.60524046 0.59419888 0.51203406],[0.56831424 0.61907943 0.38279702 0.6626484 ],[0.72337772 0.53035992 0.71540748 0.65210896],[0.59704118 0.72152599 0.29277292 0.25673787],96
16,X,Y,J,1,[0.64231376 0.64292347 0.60368829 0.52833229],[0.55426469 0.62989864 0.37132231 0.64340927],[0.67850858 0.55493268 0.73547686 0.64042405],[0.60713214 0.67161941 0.29004053 0.26509628],96
17,Y,Y,J,1,[0.60778703 0.60932814 0.61945918 0.52779997],[0.52270558 0.6638707  0.42399963 0.6337289 ],[0.67939103 0.58571316 0.73450056 0.62254738],[0.609367   0.6663255  0.24771403 0.28519048],96
18,Y,X,D,1,[0.52740055 0.61277616 0.63933007 0.54589486],[0.56281365 0.65910987 0.43345223 0.64142426],[0.66581918 0.62462881 0.70414805 0.63233249],[0.6115222  0.65824278 0.23443882 0.28660933],96
19,Y,X,F,1,[0.52740055 0.61277616 0.63933007 0.54589486],[0.56281365 0.65910987 0.43345223 0.64142426],[0.66581918 0.62462881 0.70414805 0.63233249],[0.6115222  0.65824278 0.25       0.28660933],96
0,X,X,D,1,[0.51291987 0.62071582 0.54229948 0.5746571 ],[0.47961053 0.61962107 0.46854745 0.74519734],[0.75722801 0.45455716 0.63213813 0.53620516],[0.5982253  0.72282415 0.32165604 0.2588385 ],97
1,X,Y,J,0,[0.53483804 0.57504304 0.53221977 0.59839224],[0.50844204 0.57113206 0.47845549 0.73261133],[0.75531468 0.49323295 0.63063095 0.54315719],[0.61281139 0.74283682 0.33871042 0.24288662],97
2,X,X,D,1,[0.57760895 0.61040341 0.53062824 0.55889397],[0.53869936 0.57879549 0.45575705 0.70708122],[0.7472044  0.48992918 0.63275174 0.55101833],[0.60582109 0.76141104 0.34333837 0.22564477],97
3,X,X,D,1,[0.58996487 0.57578871 0.54278372 0.55314669],[0.53592683 0.62047359 0.45046224 0.724492  ],[0.76495359 0.49210914 0.65162203 0.56143569],[0.60138637 0.73674943 0.36261524 0.24748106],97
4,X,X,D,1,[0.58274812 0.54452618 0.51540632 0.55991054],[0.49950485 0.63924964 0.39823489 0.7243742 ],[0.68535706 0.49316609 0.69994912 0.56785932],[0.60091836 0.73779026 0.37055755 0.24639775],97
5,X,X,D,1,[0.63577387 0.51831401 0.49927981 0.54188927],[0.52316383 0.63442832 0.38078152 0.75758092],[0.66256285 0.52121377 0.73477005 0.53343385],[0.60350617 0.73357329 0.35609257 0.27108159],97
6,X,X,D,0,[0.6308041  0.52660622 0.48133574 0.54917322],[0.50374031 0.62774913 0.380393   0.72493376],[0.70321021 0.49503986 0.72316842 0.57005233],[0.55920387 0.75004647 0.36000643 0.26757341],97
7,X,X,D,1,[0.63860173 0.57963313 0.4931459  0.57495972],[0.52605253 0.64965199 0.37265348 0.71194366],[0.73676476 0.47993207 0.75182421 0.57294542],[0.55273124 0.79278722 0.31448602 0.27166077],97
8,X,Y,J,0,[0.62515261 0.5890514  0.51313141 0.51834423],[0.51042835 0.63110918 0.37605905 0.68545742],[0.74136647 0.46134207 0.73191973 0.61598308],[0.53591251 0.78774353 0.2988519  0.24707721],97
9,X,X,D,0,[0.61284896 0.62302755 0.54025073 0.51873463],[0.54825121 0.62061806 0.35987148 0.67220968],[0.77641029 0.4921334  0.75694868 0.59153179],[0.53403068 0.76686183 0.29841011 0.24409517],97
10,X,X,D,1,[0.66997109 0.6402352  0.55681065 0.54095704],[0.53539008 0.62877106 0.36593282 0.68555293],[0.76221238 0.51517142 0.74725916 0.63773097],[0.57764158 0.70356169 0.28311068 0.2647672 ],97
11,X,Y,J,0,[0.66875253 0.64035088 0.56445625 0.54612762],[0.54450808 0.61631385 0.38726708 0.70229956],[0.75121046 0.50027453 0.74741716 0.67474133],[0.57225416 0.70429478 0.28088602 0.26787705],97
12,X,X,D,1,[0.6820078  0.61350298 0.54959632 0.53420037],[0.56673055 0.6413607  0.38370395 0.70869162],[0.76277863 0.49901177 0.747808   0.69008602],[0.57557286 0.71913788 0.28369968 0.2267832 ],97
13,X,X,D,0,[0.68630328 0.63394543 0.55704041 0.56440419],[0.55523765 0.6358708  0.36698192 0.69092807],[0.76619908 0.56765274 0.76871145 0.65953823],[0.59628202 0.7473622  0.2612234  0.23933917],97
14,X,X,D,1,[0.63787252 0.60718777 0.57783007 0.55020606],[0.57471135 0.64339109 0.37556845 0.6814187 ],[0.74192871 0.53147635 0.79172931 0.63717621],[0.58402141 0.7617345  0.28519807 0.23572146],97
15,X,Y,J,0,[0.62284251 0.60524046 0.59419888 0.51203406],[0.56831424 0.61907943 0.38279702 0.6626484 ],[0.72337772 0.53035992 0.71540748 0.65210896],[0.59704118 0.72152599 0.29277292 0.25673787],97
16,X,X,D,0,[0.64231376 0.64292347 0.60368829 0.52833229],[0.55426469 0.62989864 0.37132231 0.64340927],[0.67850858 0.55493268 0.73547686 0.64042405],[0.60713214 0.67161941 0.29004053 0.26509628],97
17,X,Y,J,0,[0.60778703 0.60932814 0.61945918 0.52779997],[0.52270558 0.6638707  0.42399963 0.6337289 ],[0.67939103 0.58571316 0.73450056 0.62254738],[0.609367   0.6663255  0.24771403 0.28519048],97
18,X,X,D,1,[0.52740055 0.61277616 0.63933007 0.54589486],[0.56281365 0.65910987 0.43345223 0.64142426],[0.66581918 0.62462881 0.70414805 0.63233249],[0.6115222  0.65824278 0.23443882 0.28660933],97
19,X,X,D,0,[0.52740055 0.61277616 0.63933007 0.54589486],[0.56281365 0.65910987 0.43345223 0.64142426],[0.66581918 0.62462881 0.70414805 0.63233249],[0.6115222  0.65824278 0.25       0.28660933],97
